tag,emag_height_in,spacer_in,inner_core_dia_in,outer_coil_od_in,base_inner_At,base_outer_At,B_exit_G_at_base,scale_to_target,req_inner_At,req_outer_At,B_peak_G,y_peak_mm,B_anode_G,radial_purity_pct,shape_rmse_pct,monotonic_violation_pct,quality_score,inner_shaft_B_max_T,inner_shaft_B_mid_T,outer_shaft_B_max_T,iron_B_p99_T,iron_B_p999_T,iron_B_max_T,envelope_area_m2,n_channel_elems,min_station_count,linear_valid,build_s,solve_s,iron_mur
h1.125_ci0.750_oo1.500,1.125,0.0,0.75,1.5,338.0,214.5,303.94425643212776,0.987023092726187,333.6138053414512,211.7164533897671,317.1318125869395,-27.384375000000002,18.845939321123428,94.92105906242149,22.927694343491453,5.710604195646492,89.34108702227854,0.6146758695837851,0.5493560336823072,0.1928378349572096,0.5844076842686207,0.6824890587623675,1.0509762940955012,0.06005268520676948,18632,630,True,24.2,64.0,1500.0
h1.250_ci0.750_oo1.500,1.25,0.125,0.75,1.5,338.0,214.5,304.2174432157267,0.9861367475475888,333.314220671085,211.5263323489578,318.44494056761914,-27.384375000000002,22.660032313217826,95.61253523230475,23.21282818534332,6.148313522539714,89.41765043805555,0.6274601372840891,0.5483938372528266,0.179546969579761,0.6003650304174277,0.698351169472261,1.006305491681779,0.061614199800325106,18581,655,True,25.3,101.4,1500.0
h1.375_ci0.750_oo1.500,1.375,0.25,0.75,1.5,338.0,214.5,302.7333378941367,0.9909711367993025,334.94824423816425,212.5633088434504,317.72321249216174,-27.384375000000002,25.061578442532866,95.92497328328416,23.621611825044138,5.907737497387245,89.42001588577592,0.6453524905384526,0.5751470243533364,0.17857056924805131,0.6087388260622297,0.7152947193534778,1.0908015265786024,0.06317571461991586,18556,633,True,24.4,107.7,1500.0
h1.500_ci0.750_oo1.500,1.5,0.375,0.75,1.5,338.0,214.5,301.31761825034874,0.9956271450106379,336.5219750135956,213.56202260478182,318.9841446875066,-27.384375000000002,27.394400691667215,96.13796474077633,23.985541324376246,6.328048229168871,89.30414096136468,0.6646207899084172,0.5835244760358395,0.1833892849850039,0.6143291959999625,0.7347689729023383,1.1303347601665654,0.06473723633897875,18367,595,True,32.0,110.2,1500.0
h1.625_ci0.750_oo1.500,1.625,0.5,0.75,1.5,338.0,214.5,302.8500431341782,0.9905892596062288,334.81916974690535,212.48139618553608,317.1049362067686,-27.384375000000002,27.72215431247267,96.25269932321177,23.93232737567985,5.701645402256209,89.45688337129775,0.677670810612299,0.5921697829452339,0.17892954174583695,0.6220395951074942,0.7431828417023069,1.1887074155658623,0.06629878147046929,19846,614,True,67.1,125.8,1500.0
h1.750_ci0.750_oo1.500,1.75,0.625,0.75,1.5,338.0,214.5,302.7000132449072,0.9910802341368823,334.9851191382662,212.58671022236126,317.00271164543744,-27.384375000000002,31.607295817588998,96.50329096054458,24.005001271006858,5.667570548479148,89.52426580906632,0.6954751556775536,0.601856577194914,0.1753408703146703,0.634939327625791,0.7551388090694499,1.1352543782886335,0.06786032430091309,17013,670,True,26.8,123.0,1500.0
h1.875_ci0.750_oo1.500,1.875,0.75,0.75,1.5,338.0,214.5,299.91529432018007,1.0002824320113848,338.09546201984807,214.56058166644203,317.1439460095031,-27.384375000000002,33.075819000402404,96.6470297612223,24.61327209785725,5.714648669834371,89.35461788170261,0.7187366213896507,0.617239566539448,0.17467185768006754,0.6501568739090424,0.7898697041301476,1.174846023197649,0.06942184989620084,16559,604,True,29.1,140.8,1500.0
h2.000_ci0.750_oo1.500,2.0,0.875,0.75,1.5,338.0,214.5,299.5346492024185,1.001553579189655,338.5251097661034,214.833242736181,318.0725022322696,-27.384375000000002,33.887971235582356,96.66175711006565,24.54050417562483,6.024167410756529,89.3388134154408,0.739231141021266,0.6289923802498143,0.17498846709709376,0.669420929719452,0.7970229225838162,1.2783275925334288,0.07098332623031177,16788,627,True,28.3,144.4,1500.0
h1.125_ci0.875_oo1.500,1.125,0.0,0.875,1.5,338.0,214.5,306.4598523045443,0.9789210486921307,330.8753144579402,209.97856494446202,316.9743628448414,-27.384375000000002,20.19211171222996,95.47032352362669,23.281384967363287,5.658120948280461,89.41741035245013,0.44753743919209055,0.40586785887883814,0.19209688776410772,0.43828236119480957,0.5203225342903315,0.8010754225819331,0.06005268520676948,18838,602,True,18.2,88.1,1500.0
h1.250_ci0.875_oo1.500,1.25,0.125,0.875,1.5,338.0,214.5,305.7248426010065,0.9812745259681829,331.67078977724583,210.48338582017522,317.35453470783375,-27.384375000000002,24.442580770017337,96.06426634007954,23.745842776953303,5.784844902611249,89.44372151170249,0.4595674868374726,0.40960155266695253,0.18084108133625473,0.4504384624336794,0.5351935940386371,0.7971799499631645,0.061614199800325106,18597,645,True,20.0,97.4,1500.0
