ratio,I_center,I_outer,axial_frac_mean,Bmag_mean,Bmag_median,Bmag_p90
0.4,2,5,0.54375,0.0743762,0.0045351,0.0150481
0.4317,2.1585,5,0.536256,0.0746657,0.00470421,0.0159834
0.466,2.33,5,0.528754,0.0749892,0.00489728,0.0169566
0.503,2.515,5,0.521756,0.0753474,0.00511569,0.0180691
0.5429,2.7145,5,0.515204,0.0757427,0.00536568,0.0192788
0.586,2.93,5,0.509152,0.0761782,0.00564219,0.0205689
0.6325,3.1625,5,0.503767,0.0766566,0.00593092,0.0219417
0.6826,3.413,5,0.499033,0.0771801,0.00624706,0.0234549
0.7368,3.684,5,0.49504,0.0777544,0.00659443,0.0251122
0.7953,3.9765,5,0.491638,0.0783818,0.00700016,0.0269372
0.8584,4.292,5,0.488747,0.079066,0.00746461,0.0288703
0.9265,4.6325,5,0.486438,0.0798115,0.00798019,0.0310001
1,5,5,0.484826,0.0806232,0.00853425,0.0333196
1.0793,5.3965,5,0.484157,0.081506,0.0091457,0.0358279
1.165,5.825,5,0.484204,0.0824668,0.00980993,0.038571
1.2574,6.287,5,0.485748,0.0835094,0.0105397,0.0414548
1.3572,6.786,5,0.488498,0.084642,0.0113412,0.0445821
1.4649,7.3245,5,0.491507,0.0858705,0.0122003,0.0480205
1.5811,7.9055,5,0.49417,0.0872017,0.0131327,0.0517113
1.7066,8.533,5,0.496436,0.0886449,0.0141433,0.0557969
1.842,9.21,5,0.498417,0.0902071,0.0152464,0.0601282
1.9882,9.941,5,0.50011,0.0918988,0.016434,0.0648624
2.1459,10.7295,5,0.50153,0.0937284,0.0177158,0.0699086
2.3162,11.581,5,0.502709,0.0957088,0.0191088,0.075362
2.5,12.5,5,0.503686,0.0978508,0.0206187,0.0812218
